ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Text_ID,Sentence_Number,Language_ID,OTC_ID,LGR_Conformance,Abbreviations
kilm1241a-A_01_4-am-1,"m ai kep Kupi, Kupi Am karimpo. Am kakarimpopno Am Ilöp karimpo",Am	ai	kep	Kupi	Kupi	Am	karim-po	Am	k-karim-pi-p-no	Am	Ilöp	karim-po,Am	father	3SG.POSS	Kupi	Kupi	Am	beget(TP)-LV.PP	Am	SUB-beget(TP)-LV-PC-CO	Am	Ilöp	beget(TP)-LV.PP,"Am, his father is Kupi, Kupi begot Am. When he had begotten Am, Am begot Ilöp.",A_01_4-am,1,kilm1241,kilm1241a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessive"", ""TP"": ""from Tok Pisin"", ""LV"": ""light verb"", ""PP"": ""punctual past"", ""SUB"": ""subordinating"", ""PC"": ""continuous past"", ""CO"": ""connective""}"
kilm1241a-A_01_4-am-2,"löp kakarimpopno Ilöp karim Kaso, karim Dowo. Kaso Dowoyo karimpowe",Ilöp	k-karim-pi-p-no	Ilöp	karim	Kaso	karim	Dowo	Kaso	Dowo-yo	karim-po-we,Ilöp	SUB-beget(TP)-LV-PC-CO	Ilöp	beget(TP)	Kaso	beget(TP)	Dowo	Kaso	Dowo-LOC	beget(TP)-LV.PP-DU.O,"When he had begotten Ilöp, then Ilöp begets Kaso and begets Dowo. Kaso and Dowo he begot.",A_01_4-am,2,kilm1241,kilm1241a,WORD_ALIGNED,"{""SUB"": ""subordinating"", ""TP"": ""from Tok Pisin"", ""LV"": ""light verb"", ""PC"": ""continuous past"", ""CO"": ""connective"", ""LOC"": ""locative"", ""PP"": ""punctual past"", ""DU"": ""dual""}"
kilm1241a-A_01_4-am-3,"aso Apai karimpo. Apai kamapim Dowo seken, Dowo Baes Waei",Kaso	Apai	karim-po	Apai	kamapim	Dowo	seken	Dowo	Baes	Waei,Kaso	Apai	beget(TP)-LV.PP	Apai	originate(TP)	Dowo	second(TP)	Dowo	Baes	Waei,"Kaso begot Apai, Apai is the father of the second Dowo. Dowo, Baes and Waei (are his sons).",A_01_4-am,3,kilm1241,kilm1241a,WORD_ALIGNED,"{""TP"": ""from Tok Pisin"", ""LV"": ""light verb"", ""PP"": ""punctual past""}"
kilm1241a-A_01_4-am-4,"ke oki nake tripela solo. Tripela brata kamap, uke tripela kamappo",uke	o-ki	nake	tripela	solo	tripela	brata	kamap	uke	tripela	kamap-po,we.EXCL	PROX-APH	live	three(TP)	only	three(TP)	brother(TP)	come.up(TP)	we.EXCL	three(TP)	come.up(TP)-LV.PP,"We live here, we three only. Three brothers came up, the three of us are the offspring.",A_01_4-am,4,kilm1241,kilm1241a,WORD_ALIGNED,"{""EXCL"": ""exclusive"", ""PROX"": ""proximal"", ""APH"": ""anaphor"", ""TP"": ""from Tok Pisin"", ""LV"": ""light verb"", ""PP"": ""punctual past""}"
kilm1241a-A_01_4-am-5,tori Am kep roki,stori	Am	kep	ro-ki,story(TP)	Am	3SG.POSS	PROX-APH,This is Am's story.,A_01_4-am,5,kilm1241,kilm1241a,WORD_ALIGNED,"{""TP"": ""from Tok Pisin"", ""SG"": ""singular"", ""POSS"": ""possessive"", ""PROX"": ""proximal"", ""APH"": ""anaphor""}"
kilm1241a-A_01_4-am-6,"aeau nui. Yaeau kunuipno moni buar, yaeau kepro moni buaryo",yaeau	nui	yaeau	k-nui-p-no	moni	buar	yaeau	kep=ro	moni	buar-yo,traditional.ceremony	do.intentionally	traditional.ceremony	SUB-do.intentionally-PC-CO	money(TP)	stone.axe	traditional.ceremony	3SG.POSS=EMPH	money(TP)	stone.axe-LOC,They celebrate a traditional ceremony. After having celebrated the ceremony there was money and stone axes. Their ceremony (brought) money and stone axes.'\footnote{It may be that this sequence refers to the appointment of Am as leader of the clan after the death of his father Kupi. In Nimboran society such an installation was done with a big feast that lasted over days (\cite[29-33]{Kouwenhoven:1956mg}).,A_01_4-am,6,kilm1241,kilm1241a,WORD_ALIGNED,"{""SUB"": ""subordinating"", ""PC"": ""continuous past"", ""CO"": ""connective"", ""TP"": ""from Tok Pisin"", ""SG"": ""singular"", ""POSS"": ""possessive"", ""EMPH"": ""emphatic"", ""LOC"": ""locative""}"
kilm1241a-A_01_4-am-7,uitar paitimpo moni kipiyapopno bekno,guitar	paitim-po	moni	k-piye-pi-p-no	bek-no,guitar	beat(TP)-LV.PP	money(TP)	SUB-take-LV-PC-CO	bag(TP)-INS,"(Am) played the guitar. Having taken the money, (Am put it) in the bag.",A_01_4-am,7,kilm1241,kilm1241a,WORD_ALIGNED,"{""TP"": ""from Tok Pisin"", ""LV"": ""light verb"", ""PP"": ""punctual past"", ""SUB"": ""subordinating"", ""PC"": ""continuous past"", ""CO"": ""connective"", ""INS"": ""instrumental""}"
kilm1241a-A_01_4-am-8,ena dawa kipiyapno dawa lu brukwepu,yena	dawa	k-piye-p-no	dawa	lu	bruk-wepu,people	axe	SUB-take-PC-CO	axe	blade	break(TP)-QUANT.S.PP,"(Just) as the people were grabbing the axes, the blades broke in pieces.",A_01_4-am,8,kilm1241,kilm1241a,WORD_ALIGNED,"{""SUB"": ""subordinating"", ""PC"": ""continuous past"", ""CO"": ""connective"", ""TP"": ""from Tok Pisin"", ""QUANT"": ""quantificational suffix"", ""PP"": ""punctual past""}"
kilm1241a-A_01_4-am-9,"erimpi yena royeini, Bu ki royeini ronpua rokiniro, tripela royeini",serim-pi	yena	roye-ini	Bu	ki	roye-ini	ronpua\_rokini=ro	tripela	roye-ini,share(TP)-LV	people	give-NSG.OR	Bu	APH	give-NSG.OR	three=EMPH	three(TP)	give-NSG.OR,"They share them. He gives them to the people. Bu gives them three, he gives to them three.'\footnote{It is not clear what kind of items the numeral ``three'' refers to; maybe the narrator wants to say that Bu gives three new axes to the people.",A_01_4-am,9,kilm1241,kilm1241a,WORD_ALIGNED,"{""TP"": ""from Tok Pisin"", ""LV"": ""light verb"", ""NSG"": ""non-singular"", ""OR"": ""recipient object"", ""APH"": ""anaphor"", ""EMPH"": ""emphatic""}"
kilm1241a-A_01_4-am-10,"o kipopno Am yip poro; lopos klokni pewo, yena riyo nake",ro	k-pi-p-no	Am	yip	po=ro	lopos	klokni	pewo	yena	ri-yo	nake,PROX	SUB-do-PC-CO	Am	house	make.PP=EMPH	post	one	erect.PP	people	DIST-LOC	live,After doing this Am built a house. He erected one (tall) post. The people live there.,A_01_4-am,10,kilm1241,kilm1241a,WORD_ALIGNED,"{""PROX"": ""proximal"", ""SUB"": ""subordinating"", ""PC"": ""continuous past"", ""CO"": ""connective"", ""PP"": ""punctual past"", ""EMPH"": ""emphatic"", ""DIST"": ""distal"", ""LOC"": ""locative""}"
kilm1241a-A_01_4-am-11,"aeni, Yob, Baepiye, Sin. Yena kukpo. Kaikai si, rapue si, ruri isaeaupi",Paeni	Yob	Baepiye	Sin	yena	kuk-po	kaikai	si	rapue	si	ruri	isaeaupi,Paeni	Yob	Baepiye	Sin	APH.PL	cook(TP)-LV.PP	food(TP)	cook	food	cook	child	take.care.PL.O,"(The women) Paeni, Yob, Baepiye, and Sin cooked. They cook the food and take care of the children.",A_01_4-am,11,kilm1241,kilm1241a,WORD_ALIGNED,"{""APH"": ""anaphor"", ""PL"": ""plural"", ""TP"": ""from Tok Pisin"", ""LV"": ""light verb"", ""PP"": ""punctual past""}"
kilm1241a-A_01_4-am-12,"pe kanakeno ruri roipi emi lupi seku. Rumkari ke ar lakiyo epeyo. Roipi solo ukeli yip riyo, yipyo woko haus palimen Siopo",epe	k-nake-no	ruri	roipi	emi\_lupi	seku	rumkari	ke	ar	lakiyo	epe-yo	roipi	solo	ukeli	yip	ri-yo	yip-yo	woko	haus	palimen	Siopo,mother	SUB-give.birth-CO	child	boy	umbilical.cord	fall.PP	girl	APH	NEG	fetch.people.PP	mother-LOC	boy	only	take.with.oneself	house	DIST-LOC	house-LOC	accompany.PP	house	parliament	Siopo,"When the mothers were giving birth, the umbilical cords of the children, of the boys, fell down. They did not fetch the girls from their mothers. The boys only they fetched to that house. They accompanied them to the house, the House Parliament (or) Siopo.'\footnote{Traditionally, the women preserved the umbilical cords of the newborn babies. The dried umbilical cords were believed to have an effect on the baby's sex. If they had children of one sex only, they used the cords in the following way: If a mother had only girls and wished for a boy, she put the last umbilical cord into the rib of a \textit{duam}-palm, a type of sago palm with thorns. If a mother had only boys and wished for a girl, she put the last umbilical cord into the rib of a \textit{numomo}-palm, a type of sago palm without thorns. (Margaret Osi, p. c.). The House Siopo is most probably identical with the \textit{house tambaran} which was abandoned after the Mission had settled in the village of Ossima. The \textit{haus tambaran} was the place where the men used to debate any kind of topic regarding village and life.",A_01_4-am,12,kilm1241,kilm1241a,WORD_ALIGNED,"{""SUB"": ""subordinating"", ""CO"": ""connective"", ""PP"": ""punctual past"", ""APH"": ""anaphor"", ""NEG"": ""negation"", ""LOC"": ""locative"", ""DIST"": ""distal""}"
kilm1241a-A_01_4-am-13,"ip, nem kep roki, haus palimen, haus Siopo",yip	nem	kep	ro-ki	haus	palimen	haus	Siopo,house	name	3SG.POSS	PROX.EMPH-APH	house(TP)	parliament	house(TP)	Siopo,The name of the house is this: Parliament House (or) Siopo House.,A_01_4-am,13,kilm1241,kilm1241a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessive"", ""PROX"": ""proximal"", ""EMPH"": ""emphatic"", ""APH"": ""anaphor"", ""TP"": ""from Tok Pisin""}"
kilm1241a-A_01_4-am-14,"ip sepolo, mi Mosbika lo. Yipro Mosbiyo poli",yip	sepolo	mi	Mosbi-ka	lo	yip=ro	Mosbi-yo	poli,house	disappear.PP	then	Port.Moresby-PATH	go.PP	house=EMPH	Port.Moresby-LOC	be.there,"The house disappeared. Then it went to Port Moresby. This house is now in Port Moresby.'\footnote{Note the metaphorical use of the verb \textit{le} `go'. The transfer was institutionally, but the narrator says that the house itself moved.",A_01_4-am,14,kilm1241,kilm1241a,WORD_ALIGNED,"{""PP"": ""punctual past"", ""PATH"": ""path"", ""EMPH"": ""emphatic"", ""LOC"": ""locative""}"
kilm1241a-A_01_4-am-15,"elefon kepro, Bu Ipor Dawap telefon ikep, bi wiyo, du mauo",telefon	kep=ro	Bu	Ipor	Dawap	telefon	ikep	bi	wiyo	du	mauo,phone(TP)	3SG.POSS=EMPH	Bu	Ipor	Dawap	phone(TP)	3SG.POSS.EMPH	animal	hold.PP	bush	roam-PP,His phone. Bu (had) Ipor and Dawap as his messengers. He caught animals. He roamed the bush.'\footnote{Ipor and Dawap are trees that act like personal messengers conveying news.,A_01_4-am,15,kilm1241,kilm1241a,WORD_ALIGNED,"{""TP"": ""from Tok Pisin"", ""SG"": ""singular"", ""POSS"": ""possessive"", ""EMPH"": ""emphatic"", ""PP"": ""punctual past""}"
kilm1241a-A_01_4-am-16,"u ki muli: ``Bi ereyo nui.'' Yenaro solo sokuro, bi riyo lu",Bu	ki	muli	bi	ere-yo	nui	yena=ro	solo	sokuro	bi	ri-yo	lu,Bu	APH	say	pig	PROX-LOC	sleep	people=EMPH	only	build.fences.for.hunting.PP	pig	DIST-LOC	shoot.PP,Bu says: ``Pigs live here.'' People simply built hunting fences and shot the pigs from there.,A_01_4-am,16,kilm1241,kilm1241a,WORD_ALIGNED,"{""APH"": ""anaphor"", ""PROX"": ""proximal"", ""LOC"": ""locative"", ""EMPH"": ""emphatic"", ""PP"": ""punctual past"", ""DIST"": ""distal""}"
